,Date,BTC High,BTC Low,BTC Close,BTC Volume,Gold Close,Gold High,Gold Low,Gold Volume,Spy Close,Spy High,Spy Low,Spy Volume,R Close,R High,R Low,VIX High,VIX Low,VIX Close
88,2022-03-31,47170.71,46898.12,47160.76,4422.89888,1959.5,1960.4,1928.6,7310.0,614.1,614.4,611.58,260.0,2.345,2.365,2.309,21.48,19.54,20.56
89,2022-04-01,45110.81,44547.11,45015.69,7181.44137,1929.2,1949.5,1927.1,2170.0,606.02,617.22,598.5,580.0,2.389,2.456,2.352,20.86,19.41,19.63
90,2022-04-02,46684.4,46410.63,46584.49,3312.28456,,,,,,,,,,,,,,
91,2022-04-03,46570.0,45927.83,46363.82,4141.72984,,,,,,,,,,,,,,
92,2022-04-04,46293.38,45834.39,46173.99,3996.75378,1939.7,1946.1,1924.0,2950.0,604.0,615.98,602.8,140.0,2.393,2.434,2.369,20.78,18.45,18.57
93,2022-04-05,46884.49,46549.82,46709.99,3706.01335,1933.5,1954.4,1927.2,4700.0,600.7,606.37,600.0,610.0,2.554,2.567,2.384,21.57,18.55,21.03
94,2022-04-06,45507.14,45119.0,45276.04,4201.27513,1929.3,1942.2,1922.3,3990.0,595.31,596.78,594.0,460.0,2.598,2.659,2.566,24.78,21.24,22.1
95,2022-04-07,43545.74,43210.47,43445.33,4562.68512,1944.2,1948.0,1930.0,6750.0,594.51,595.5,593.0,640.0,2.665,2.673,2.555,23.82,21.12,21.55
96,2022-04-08,43780.32,43416.74,43763.52,3912.96402,1952.2,1958.3,1937.7,6830.0,599.87,603.71,599.42,170.0,2.704,2.73,2.624,22.34,20.28,21.16
97,2022-04-09,42640.0,42341.79,42481.09,2773.96788,,,,,,,,,,,,,,
98,2022-04-10,42799.0,42575.4,42633.59,1825.05163,,,,,,,,,,,,,,
99,2022-04-11,42350.29,42084.56,42305.75,3608.11066,1955.0,1981.2,1949.9,5740.0,597.09,602.0,597.0,390.0,2.774,2.793,2.711,24.42,22.09,24.37
100,2022-04-12,40196.39,39624.71,40183.97,9380.43138,1983.0,1989.1,1960.4,9080.0,589.58,595.29,589.0,370.0,2.727,2.836,2.674,25.38,22.27,24.26
101,2022-04-13,40228.41,39858.34,40130.0,3712.31543,1991.5,1992.2,1974.0,9410.0,592.92,592.92,589.4,180.0,2.703,2.79,2.646,24.45,21.37,21.82
102,2022-04-14,41413.11,41156.9,41271.66,3408.77253,1981.6,1990.6,1969.6,3130.0,595.66,597.69,593.04,450.0,2.828,2.835,2.648,22.7,20.85,22.7
103,2022-04-15,40449.96,39953.2,40239.43,4129.25996,,,,,,,,,,,,,,
104,2022-04-16,40563.46,40353.54,40393.77,1920.77595,,,,,,,,,,,,,,
105,2022-04-17,40430.0,40226.55,40285.15,1312.93102,,,,,,,,,,,,,,
106,2022-04-18,39847.24,38536.51,38919.85,11629.0648,,,,,,,,,,,,,,
